Incident Date,State,# Killed,# Injured,,
10-Mar-15,Michigan,3,0,,
11-Mar-15,Missouri,1,2,,
13-Mar-15,Michigan,1,0,,
13-Mar-15,Mississippi,2,3,,
13-Mar-15,Kentucky,1,0,,
16-Mar-15,Missouri,3,0,,
17-Mar-15,Oklahoma,1,0,,
19-Mar-15,Texas,1,0,,
19-Mar-15,Oklahoma,1,0,,
19-Mar-15,Texas,1,0,,
22-Mar-15,Alaska,4,0,,
24-Mar-15,Florida,1,1,,
25-Mar-15,Florida,2,1,,
28-Mar-15,New Hampshire,3,0,,
28-Mar-15,Washington,2,1,,
29-Mar-15,Georgia,1,0,,
31-Mar-15,Pennsylvania,1,0,,
31-Mar-15,Tennessee,1,0,,
1-Apr-15,Oklahoma,4,0,,
10-Apr-15,Tennessee,1,0,,
12-Apr-15,Ohio,1,0,,
16-Apr-15,Washington,1,0,,
18-Apr-15,Texas,1,0,,
20-Apr-15,Florida,1,0,,
23-Apr-15,Georgia,3,0,,
29-Apr-15,Georgia,1,0,,
30-Apr-15,Georgia,1,0,,
3-May-15,Florida,1,0,,
3-May-15,Louisiana,1,0,,
3-May-15,Wisconsin,4,1,,
11-May-15,Kentucky,2,0,,
13-May-15,Alaska,4,0,,
14-May-15,Louisiana,3,0,,
15-May-15,Arkansas,1,0,,
16-May-15,California,1,0,,
23-May-15,Mississippi,1,0,,
25-May-15,New York,1,0,,
25-May-15,Virginia,1,0,,
27-May-15,California,2,0,,
28-May-15,Maryland,2,0,,
29-May-15,Virginia,2,0,,
30-May-15,Alaska,1,0,,
30-May-15,Texas,1,0,,
31-May-15,Missouri,1,0,,
7-Jun-15,Montana,5,0,,
7-Jun-15,Utah,3,0,,
9-Jun-15,Tennessee,1,0,,
10-Jun-15,California,1,0,,
11-Jun-15,Ohio,1,0,,
13-Jun-15,Texas,1,0,,
21-Jun-15,Utah,4,0,,
23-Jun-15,Louisiana,3,1,,
25-Jun-15,Wyoming,2,0,,
27-Jun-15,Montana,1,0,,
27-Jun-15,Florida,4,0,,
27-Jun-15,Virginia,1,1,,
28-Jun-15,Michigan,1,0,,
2-Jul-15,Virginia,1,0,,
2-Jul-15,Washington,2,0,,
2-Jul-15,Arkansas,1,0,,
4-Jul-15,Illinois,1,1,,
5-Jul-15,Texas,1,0,,
6-Jul-15,Kansas,1,0,,
8-Jul-15,Louisiana,2,0,,
15-Jul-15,Missouri,1,0,,
16-Jul-15,Virginia,1,1,,
17-Jul-15,Louisiana,1,0,,
17-Jul-15,Maryland,3,0,,
17-Jul-15,Washington,2,1,,
18-Jul-15,Florida,2,0,,
22-Jul-15,Georgia,5,0,,
23-Jul-15,Washington,2,0,,
23-Jul-15,Michigan,1,0,,
29-Jul-15,District of Columbia,1,0,,
29-Jul-15,California,1,0,,
30-Jul-15,Texas,1,0,,
3-Aug-15,Michigan,1,0,,
3-Aug-15,Texas,1,0,,
5-Aug-15,Alaska,1,0,,
5-Aug-15,Mississippi,1,0,,
8-Aug-15,North Carolina,3,0,,
8-Aug-15,Texas,8,0,,
10-Aug-15,Michigan,2,0,,
18-Aug-15,Missouri,1,1,,
23-Aug-15,Virginia,1,0,,
25-Aug-15,Missouri,1,0,,
27-Aug-15,Indiana,3,0,,
1-Sep-15,New Jersey,4,0,,
1-Sep-15,Pennsylvania,1,0,,
2-Sep-15,Illinois,1,0,,
4-Sep-15,Ohio,1,0,,
4-Sep-15,Alabama,1,0,,
5-Sep-15,North Carolina,1,3,,
5-Sep-15,Missouri,1,0,,
6-Sep-15,Texas,2,0,,
8-Sep-15,Missouri,3,0,,
13-Sep-15,California,3,0,,
15-Sep-15,Ohio,1,1,,
17-Sep-15,South Dakota,6,0,,
18-Sep-15,Utah,3,0,,
19-Sep-15,Indiana,1,3,,
25-Sep-15,Texas,1,1,,
29-Sep-15,Missouri,2,0,,
1-Oct-15,Ohio,1,0,,
2-Oct-15,Nevada,3,0,,
3-Oct-15,Tennessee,1,0,,
4-Oct-15,Tennessee,1,1,,
8-Oct-15,New Mexico,2,0,,
10-Oct-15,Utah,1,0,,
11-Oct-15,Nevada,1,0,,
13-Oct-15,Georgia,1,1,,
17-Oct-15,Georgia,1,1,,
17-Oct-15,Illinois,1,0,,
20-Oct-15,New Mexico,1,0,,
21-Oct-15,South Carolina,1,0,,
26-Oct-15,North Carolina,1,0,,
27-Oct-15,Georgia,1,0,,
1-Nov-15,Pennsylvania,1,1,,
2-Nov-15,Illinois,1,0,,
3-Nov-15,Louisiana,1,1,,
4-Nov-15,Kentucky,1,0,,
6-Nov-15,Texas,2,0,,
7-Nov-15,Ohio,1,0,,
9-Nov-15,Michigan,1,0,,
11-Nov-15,Georgia,1,0,,
13-Nov-15,Florida,4,1,,
15-Nov-15,South Carolina,1,0,,
15-Nov-15,Texas,5,0,,
17-Nov-15,Arkansas,1,0,,
18-Nov-15,Arkansas,1,0,,
18-Nov-15,California,1,1,,
21-Nov-15,Tennessee,1,0,,
23-Nov-15,Ohio,4,1,,
28-Nov-15,New York,1,0,,
28-Nov-15,Georgia,1,0,,
3-Dec-15,Michigan,2,1,,
4-Dec-15,Utah,1,0,,
6-Dec-15,Nebraska,2,3,,
7-Dec-15,Tennessee,2,0,,
9-Dec-15,Texas,1,0,,
11-Dec-15,Tennessee,1,0,,
11-Dec-15,Kansas,1,0,,
14-Dec-15,Arizona,3,0,,
21-Dec-15,Missouri,1,0,,
23-Dec-15,Arizona,3,0,,
25-Dec-15,North Carolina,1,0,,
25-Dec-15,New Jersey,3,0,,
27-Dec-15,Michigan,1,1,,
27-Dec-15,Florida,1,0,,
28-Dec-15,Alaska,1,0,,
1-Jan-16,Wisconsin,2,0,,
4-Jan-16,Colorado,1,0,,
6-Jan-16,Georgia,2,0,,
9-Jan-16,Kentucky,1,0,,
10-Jan-16,North Carolina,1,0,,
11-Jan-16,Illinois,1,0,,
14-Jan-16,Ohio,1,2,,
16-Jan-16,Missouri,3,0,,
19-Jan-16,Oklahoma,1,0,,
19-Jan-16,Texas,1,0,,
20-Jan-16,Michigan,1,0,,
20-Jan-16,Louisiana,1,0,,
22-Jan-16,Wisconsin,1,0,,
23-Jan-16,Alaska,1,0,,
25-Jan-16,Tennessee,1,0,,
29-Jan-16,Florida,1,0,,
30-Jan-16,Maryland,1,0,,
1-Feb-16,Alaska,2,0,,
2-Feb-16,Maryland,2,0,,
6-Feb-16,Alabama,1,0,,
9-Feb-16,New York,3,0,,
9-Feb-16,California,1,0,,
12-Feb-16,Texas,3,0,,
16-Feb-16,New Hampshire,1,0,,
16-Feb-16,Texas,1,0,,
17-Feb-16,Indiana,3,0,,
19-Feb-16,Missouri,4,0,,
20-Feb-16,Florida,1,0,,
21-Feb-16,Florida,1,0,,
23-Feb-16,Arizona,5,0,,
25-Feb-16,North Carolina,1,0,,
26-Feb-16,Indiana,1,0,,
29-Feb-16,Tennessee,1,0,,
1-Mar-16,Florida,1,0,,
4-Mar-16,Ohio,1,3,,
6-Mar-16,Montana,2,0,,
10-Mar-16,Mississippi,1,0,,
11-Mar-16,Montana,3,0,,
11-Mar-16,Georgia,1,0,,
19-Mar-16,Texas,1,1,,
20-Mar-16,Kentucky,4,0,,
20-Mar-16,Illinois,1,0,,
21-Mar-16,Texas,4,0,,
23-Mar-16,California,3,0,,
27-Mar-16,Michigan,1,2,,
16-Apr-16,Michigan,1,0,,
16-Apr-16,Pennsylvania,1,0,,
18-Apr-16,Florida,3,0,,
19-Apr-16,Texas,4,0,,
20-Apr-16,Indiana,1,0,,
21-Apr-16,Missouri,1,0,,
21-Apr-16,Missouri,2,0,,
22-Apr-16,Louisiana,1,0,,
25-Apr-16,Georgia,3,0,,
26-Apr-16,Georgia,1,0,,
27-Apr-16,Wisconsin,3,0,,
27-Apr-16,Missouri,1,0,,
1-May-16,Indiana,1,0,,
5-May-16,Wisconsin,1,0,,
6-May-16,North Carolina,3,0,,
6-May-16,Hawaii,3,0,,
10-May-16,Michigan,1,0,,
12-May-16,Ohio,1,0,,
17-May-16,Texas,1,0,,
17-May-16,South Carolina,3,1,,
20-May-16,Alabama,1,0,,
20-May-16,Illinois,1,0,,
21-May-16,Louisiana,1,0,,
24-May-16,Missouri,1,0,,
25-May-16,Michigan,1,0,,
25-May-16,Texas,1,0,,
26-May-16,Virginia,1,0,,
27-May-16,Alabama,1,0,,
27-May-16,New York,3,0,,
27-May-16,Indiana,1,0,,
1-Jun-16,Texas,1,1,,
1-Jun-16,Texas,1,1,,
3-Jun-16,Ohio,2,0,,
3-Jun-16,Colorado,1,0,,
4-Jun-16,Illinois,1,0,,
11-Jun-16,New Mexico,5,0,,
12-Jun-16,Pennsylvania,2,1,,
17-Jun-16,Iowa,1,0,,
20-Jun-16,Colorado,1,0,,
20-Jun-16,Missouri,1,0,,
21-Jun-16,California,1,2,,
23-Jun-16,Pennsylvania,1,0,,
25-Jun-16,New Jersey,1,0,,
28-Jun-16,Texas,3,0,,
29-Jun-16,Nevada,5,0,,
1-Jul-16,Tennessee,1,0,,
2-Jul-16,Illinois,3,0,,
2-Jul-16,California,1,0,,
3-Jul-16,Kentucky,1,0,,
5-Jul-16,California,1,1,,
8-Jul-16,Arkansas,1,0,,
8-Jul-16,California,3,0,,
8-Jul-16,Minnesota,1,1,,
11-Jul-16,Texas,1,0,,
14-Jul-16,Alabama,1,0,,
14-Jul-16,Colorado,1,0,,
14-Jul-16,Texas,3,0,,
