Incident Date,State,# Killed,# Injured
25-Aug-16,Tennessee,1,0
28-Aug-16,Kentucky,1,0
1-Sep-16,South Carolina,1,2
11-Sep-16,Kentucky,1,0
12-Sep-16,Pennsylvania,1,0
18-Sep-16,Florida,1,0
18-Sep-16,Florida,1,0
28-Sep-16,Arizona,1,0
30-Sep-16,Wisconsin,1,0
1-Oct-16,Georgia,1,0
13-Oct-16,Illinois,1,0
20-Oct-16,California,1,0
27-Oct-16,Missouri,1,0
29-Oct-16,Ohio,1,0
4-Nov-16,Kansas,1,0
12-Nov-16,Colorado,1,0
13-Nov-16,Colorado,1,0
13-Nov-16,Michigan,1,0
23-Nov-16,West Virginia,1,0
